Kana,Kanji,Form,Pre-Pol-Aff,Pre-Pol-Neg,Pas-Pol-Aff,Pas-Pol-Neg,て form,English
（に、へ）いく,行く,う,行きます,行きません,行きました,行きませんでした,行って,to go
（に、へ）かえる,帰る,う,かえります,かえりません,かえりました,かえりませんでした,かえて,to go back; to return
（に、へ）くる,来る,くる,きます,きません,きました,きませんでした,きて,to come
（を、に）きく,聞く,う,ききます,ききません,ききました,ききませんでした,きいて,to listen; to hear; to ask
（を）のむ,飲む,う,飲みます,飲みません,飲みました,飲みませんでした,飲んで,to drink
（を）はなす,話す,う,はなします,はなしません,はなした,はなしませんでした,はなして,to speak; to talk
（を）よむ,読む,う,よみます,よみあせん,よみました,よみませんでした,よんで,to read
（を）おきる,起きる,る,おきます,おきません,おきました,おきませんでした,おきて,to get up
（を）たべる,食べる,る,食べます,食べません,食べました,食べませんでした,食べて,to eat
（を）ねる,寝る,る,ねます,ねません,ねました,ねませんでした,ねて,to sleep; to go to sleep
（を）みる,見る,る,見ます,見ません,見ました,見ませんでした,見て,to see; to look at; to watch
（を）する,,する,します,しません,しました,しませんでした,して,to do
（を）べんきょうする,勉強する,する,べんきょうします,べんきょうしません,べんきょうしました,べんきょうしませんでした,べんきょうして,to study
（が）ある,,う,あります,ありません,ありました,ありませんでした,あって,there is... [thing]
（が）いる,,う,いります,いりません,いりました,いりませんでした,いって,there is... [person]
（を）かう,買う,う,かいます,かいません,かいました,かいませんでした,かっで,to buy
（を）かく,書く,う,かきます,かきません,かきました,かきませんでした,かいて,to write
（を）とる,撮る,う,とります,とりません,とりました,とりませんでした,とって,to take pictures
（を）まつ,待つ,う,まちます,まちません,まちました,まちませんでした,まって,to wait
（を）わかる,,う,わかります,わかりません,わかりました,わかりませんでした,わかって,to understand
（を）およぐ,泳ぐ,う,およぎます,およぎません,およぎました,およぎませんでした,およいで,to swim
（に）のる,乗る,う,のります,のりません,のりました,のりませんでした,のって,to ride; to board
（を）やる,,う,やります,やりません,やりました,やりませんでした,やって,to do; to perform
（に）でかける,出かける,る,出かけます,出かけません,出かけました,出かけませんでした,出かけて,to go out
（を）あそぶ,遊ぶ,う,あそびます,あそびません,あそびました,あそべませんでした,あそんで,to play; to spend time pleasantly
（を）いそぐ,急ぐ,う,いそぎます,いそぎません,いそぎました,いそぎませんでした,いそいで,to hurry
（を）おふろにはいる,お風呂に入る,う,おふろにはいります,おふろにはいりません,おふろにはいりました,おふろにはいりませんでした,おふろにはいって,to take a bath
（に、を）かえす,返す,う,かえします,かえしません,かえしました,かえしませんでした,かえして,to return [things]
（を）けす,消す,う,けします,けしません,けしました,けしませんでした,けして,to turn off; to erase
（を）しぬ,死ぬ,う,しにます,しにません,しにました,しにませんでした,しんで,to die
（に）すわる,座る,う,すわります,すわりません,すわりました,すわりませんでした,すわって,to sit down
（を）たつ,立つ,う,かちます,かちません,かちました,かちませんでした,かって,to stand up
（を）たばこをすう,たばこを吸う,う,たばこをすいます,たばこをすいません,たばこをすいました,たばこをすいませんでした,たばこをすって,to smoke
（を）つかう,使う,つかいます,う,つかいません,つかうました,つかうませんでした,つかって,to use
（を）てつだう,手伝う,う,てつがいます,てつがいません,てつがいました,てつがいませんでした,てつがって,to help
（に）はいる,入る,う,はいります,はいりません,はいりました,はいりませんでした,はいって,to enter
（を）もつ,持つ,う,もちます,もチマせん,もちました,もちませんでした,もって,to carry; to hold
（を）やすむ,休む,う,やすみます,やすみません,やすみました,やすみませんでした,やすんで,to be absent; to rest
（を）あける,開ける,る,あけます,あけません,あけました,あけませんでした,あけて,to open something
（に、を）おしえる,教える,る,おしえます,おしえません,おしえました,おしえませんでした,おしえて,to teach; to instruct
（を）おりる,降りる,る,おります,おりません,おりました,おりませんでした,おりて,to get off
（を）かりる,借りる,る,かります,かりません,かりました,かりませんでした,かりて,to borrow
（を）しめる,閉める,る,しめます,しめません,しめました,しめませんでした,しめて,to close something
（を）つける,,る,つけます,つけません,つけました,つけませんでした,つけて,to turn on
（に）でんわをかける,電話をかける,る,でんわをかけます,でんわをかけません,でんわをかけました,でんわをかけませんでした,でんわをかけて,to make a phone call
（を）わすれる,忘れる,る,わすれます,わすれません,わすれました,わすれませんでした,わすれて,to forget; to leave behind
（を）つれてくる,連れてくる,る,つれてきます,つれてきません,つれてきました,つれてきませんでした,つれてきて,to bring a person
（を）もってくる,持ってくる,る,もってきます,もってきません,もってきました,もってきませんでした,もってきて,to bring a thing
